brand_name,year,total_spending,total_dosage_units,total_claims,total_beneficiaries,avg_spend_per_unit,avg_spend_per_claim,avg_spend_per_bene,avg_spending_yoy_growth,medicare_risk_score
Piperacillin-Tazobactam,2019,24855524.62,16276559.302,120612.0,46311.0,5.66543260886875,180.2488582284375,423.7181970675,4.679696814931231,1.8752154107732912
Piperacillin-Tazobactam,2020,25184302.02,16688204.206,124908.0,47113.0,4.930872707375,186.104187059875,453.4795073675,22.29157475990141,1.8867923560035051
Piperacillin-Tazobactam,2021,24592825.86,19497891.484,126842.0,45640.0,4.541429374994444,173.08940800777776,429.03499308235297,116.1490545955423,1.8659652337338561
Piperacillin-Tazobactam,2022,25110973.42,14528155.412,124146.0,45379.0,7.184618453890909,166.2473573835,397.60654762772725,38.719664856598726,1.884210301440119
Piperacillin-Tazobactam,2023,28399322.4,13206937.108,136484.0,48754.0,13.695529712495652,162.34859105734785,400.280617555,102.5470158596901,1.999999999999965
Zosyn,2019,2782920.48,7103660.0,11672.0,4388.0,0.403936299,238.42704592,634.21159526,0.0,0.09799249576461382
Zosyn,2020,2109473.52,5482532.0,8486.0,3302.0,0.3989452354,248.58278576,638.84721987,0.0,0.07427900885409597
Zosyn,2021,1577156.2,4008672.0,6184.0,2338.0,0.4062113394,255.03819534,674.57493584,0.0,0.05553499403210918
Zosyn,2022,1207990.66,3081000.0,4688.0,1938.0,0.4051620717,257.67718857,623.31819401,0.0,0.04253589726492761
Zosyn,2023,1155465.98,3032933.34,4566.0,1734.0,0.3975484184,252.7245187833333,660.23214779,-0.3165988419968051,-0.2759124494228767
